holding_period,total_trades,win_rate,mean_return,std_return,sharpe_ratio,profit_factor,max_drawdown,max_gain,max_loss,weighted_mean_return,weighted_sharpe_ratio,final_equity,total_return_pct,portfolio_sharpe,max_drawdown_pct,sizing_mode,combo_label,stop_loss_pct,trail_activation_pct,trail_pct,take_profit_pct
30,1043,0.33557046979865773,0.015913221989483223,0.1955023119096031,0.2359097371717785,1.259423335285853,-0.9997249325548591,2.3895,-0.10200000000000006,0.011688465516475621,0.18612203616084425,137315.5609132187,37.315560913218704,1.5473244266463049,-5.845950988021787,compound,act50_trail15_stop10_tp30,0.1,0.5,0.15,0.3
30,1043,0.33557046979865773,0.015913221989483223,0.1955023119096031,0.2359097371717785,1.259423335285853,-0.9997249325548591,2.3895,-0.10200000000000006,0.011688465516475621,0.18612203616084425,150962.2424422453,50.9622424422453,1.4633082947298561,-8.627468322904564,house_money,act50_trail15_stop10_tp30,0.1,0.5,0.15,0.3
30,828,0.49033816425120774,0.031423152596461425,0.25623640732362374,0.35542548194816265,1.3891157621459647,-0.9999733603502674,2.3895,-0.25200000000000006,0.03314591263714207,0.3924552811625184,152036.7406997401,52.03674069974009,2.1497847599564492,-6.114120976998085,static,act50_trail15_stop25_tp30,0.25,0.5,0.15,0.3
30,828,0.49033816425120774,0.031423152596461425,0.25623640732362374,0.35542548194816265,1.3891157621459647,-0.9999733603502674,2.3895,-0.25200000000000006,0.03314591263714207,0.3924552811625184,164588.52685877762,64.58852685877763,2.1244281448526974,-6.64171095389843,compound,act50_trail15_stop25_tp30,0.25,0.5,0.15,0.3
30,828,0.49033816425120774,0.031423152596461425,0.25623640732362374,0.35542548194816265,1.3891157621459647,-0.9999733603502674,2.3895,-0.25200000000000006,0.03314591263714207,0.3924552811625184,217995.15852304763,117.99515852304765,1.8983912620449186,-13.884459190540033,house_money,act50_trail15_stop25_tp30,0.25,0.5,0.15,0.3
30,860,0.46511627906976744,0.01736268525130923,0.23948644105677522,0.21012397377651934,1.2225429825304324,-0.9999990294782621,2.3895,-0.20200000000000004,0.018486438344092995,0.23882109642407015,129863.81863225186,29.86381863225187,1.2406461441044396,-9.242178519152327,static,act30_trail15_stop20_tp30,0.2,0.3,0.15,0.3
30,860,0.46511627906976744,0.01736268525130923,0.23948644105677522,0.21012397377651934,1.2225429825304324,-0.9999990294782621,2.3895,-0.20200000000000004,0.018486438344092995,0.23882109642407015,132192.02013525856,32.192020135258545,1.231824987278913,-9.70127183074201,compound,act30_trail15_stop20_tp30,0.2,0.3,0.15,0.3
30,860,0.46511627906976744,0.01736268525130923,0.23948644105677522,0.21012397377651934,1.2225429825304324,-0.9999990294782621,2.3895,-0.20200000000000004,0.018486438344092995,0.23882109642407015,138914.63783888263,38.914637838882626,1.1593613487497894,-11.950468529354689,house_money,act30_trail15_stop20_tp30,0.2,0.3,0.15,0.3
30,997,0.436308926780341,-0.003084119483525814,0.18296744300014756,-0.0488536502813779,0.95024500318559,-0.9999999991214684,2.3895,-0.20200000000000004,0.0007811515389387449,0.012763428748112841,93850.26574984952,-6.149734250150473,-0.2475532618483321,-21.959398863987396,static,act10_trail15_stop20_tp30,0.2,0.1,0.15,0.3
30,997,0.436308926780341,-0.003084119483525814,0.18296744300014756,-0.0488536502813779,0.95024500318559,-0.9999999991214684,2.3895,-0.20200000000000004,0.0007811515389387449,0.012763428748112841,92788.38411532031,-7.21161588467969,-0.3453905430531777,-20.508951921179747,compound,act10_trail15_stop20_tp30,0.2,0.1,0.15,0.3
30,997,0.436308926780341,-0.003084119483525814,0.18296744300014756,-0.0488536502813779,0.95024500318559,-0.9999999991214684,2.3895,-0.20200000000000004,0.0007811515389387449,0.012763428748112841,92721.4083224974,-7.278591677502599,-0.34868334012195606,-20.575562294899697,house_money,act10_trail15_stop20_tp30,0.2,0.1,0.15,0.3
30,860,0.46395348837209305,0.026864062760320915,0.2466361289995206,0.31568550477358887,1.3432916118087501,-0.9999816946894142,2.3895,-0.20200000000000004,0.028652649343045834,0.3573128024347629,146206.18794775195,46.20618794775196,1.9082842255008492,-6.5086640337712485,static,act80_trail15_stop20_tp30,0.2,0.8,0.15,0.3
30,860,0.46395348837209305,0.026864062760320915,0.2466361289995206,0.31568550477358887,1.3432916118087501,-0.9999816946894142,2.3895,-0.20200000000000004,0.028652649343045834,0.3573128024347629,155446.60896303796,55.446608963037946,1.9355593722865623,-7.354762956033245,compound,act80_trail15_stop20_tp30,0.2,0.8,0.15,0.3
30,860,0.46395348837209305,0.026864062760320915,0.2466361289995206,0.31568550477358887,1.3432916118087501,-0.9999816946894142,2.3895,-0.20200000000000004,0.028652649343045834,0.3573128024347629,191010.8390561174,91.0108390561174,1.8320695869902537,-12.450693431908903,house_money,act80_trail15_stop20_tp30,0.2,0.8,0.15,0.3
30,784,0.38903061224489793,0.008297822127540726,0.3305433651957382,0.07275708986132767,1.095810247528992,-0.9999999998530468,4.0683125,-0.20200000000000004,0.01125818468169705,0.10509432799877903,113010.98509598385,13.010985095983862,0.5039976564265422,-12.753159562899913,static,trail_only_no_tp_cap,0.2,,,
30,784,0.38903061224489793,0.008297822127540726,0.3305433651957382,0.07275708986132767,1.095810247528992,-0.9999999998530468,4.0683125,-0.20200000000000004,0.01125818468169705,0.10509432799877903,110063.23506416354,10.063235064163534,0.42525431250140094,-12.90792704233574,compound,trail_only_no_tp_cap,0.2,,,
